Date,Share Code,High,Low,Previous,Open,Close,Total Shares Traded,Last
2/5/2018,CAL,1.2,1.08,1.12,1.12,1.12,1900,1.15
2/6/2018,CAL,1.2,1.08,1.12,1.12,1.15,3500,1.15
2/7/2018,CAL,1.2,1.08,1.15,1.15,1.15,700,1.15
2/8/2018,CAL,1.2,1.08,1.15,1.15,1.2,518900,1.2
2/9/2018,CAL,1.2,1.08,1.2,1.2,1.2,145700,1.2
2/12/2018,CAL,1.21,1.08,1.2,1.2,1.21,102600,1.21
2/13/2018,CAL,1.3,1.08,1.21,1.21,1.27,520100,1.3
2/14/2018,CAL,1.3,1.08,1.27,1.27,1.26,107600,1.26
2/15/2018,CAL,1.3,1.08,1.26,1.26,1.26,862300,1.26
2/16/2018,CAL,1.3,1.08,1.26,1.26,1.26,142700,1.26
2/19/2018,CAL,1.3,1.08,1.26,1.26,1.26,2400,1.26
2/20/2018,CAL,1.3,1.08,1.26,1.26,1.26,34100,1.26
2/21/2018,CAL,1.3,1.08,1.26,1.26,1.26,0,1.26
2/22/2018,CAL,1.3,1.08,1.26,1.26,1.27,1200,1.26
2/23/2018,CAL,1.3,1.08,1.27,1.27,1.27,600,1.26
2/26/2018,CAL,1.3,1.08,1.27,1.27,1.27,24700,1.26
2/27/2018,CAL,1.3,1.08,1.27,1.27,1.28,8300,1.28
2/28/2018,CAL,1.3,1.08,1.28,1.28,1.28,1900,1.28
3/1/2018,CAL,1.3,1.08,1.28,1.28,1.29,700,1.29
3/2/2018,CAL,1.3,1.08,1.29,1.29,1.29,11400,1.29
3/5/2018,CAL,1.3,1.08,1.29,1.29,1.29,14500,1.29
3/7/2018,CAL,1.3,1.08,1.29,1.29,1.3,3800,1.3
3/8/2018,CAL,1.3,1.08,1.3,1.3,1.3,4200,1.3
3/9/2018,CAL,1.3,1.08,1.3,1.3,1.29,2400,1.29
3/12/2018,CAL,1.3,1.08,1.29,1.29,1.28,100,1.28
3/13/2018,CAL,1.3,1.08,1.28,1.28,1.24,3400,1.2
3/14/2018,CAL,1.3,1.08,1.24,1.24,1.23,8000,1.22
3/15/2018,CAL,1.3,1.08,1.23,1.23,1.23,94800,1.22
3/16/2018,CAL,1.3,1.08,1.23,1.23,1.24,6207000,1.24
3/19/2018,CAL,1.3,1.08,1.24,1.24,1.24,30800,1.24
3/20/2018,CAL,1.3,1.08,1.24,1.24,1.24,29400,1.24
3/21/2018,CAL,1.3,1.08,1.24,1.24,1.24,0,1.24
3/22/2018,CAL,1.3,1.08,1.24,1.24,1.3,106100,1.3
3/23/2018,CAL,1.31,1.08,1.3,1.3,1.31,5000,1.31
3/26/2018,CAL,1.31,1.08,1.31,1.31,1.31,0,1.31
3/27/2018,CAL,1.38,1.08,1.31,1.31,1.35,259200,1.38
3/28/2018,CAL,1.5,1.08,1.35,1.35,1.47,27700,1.5
3/29/2018,CAL,1.52,1.08,1.47,1.35,1.52,47100,1.53
4/3/2018,CAL,1.52,1.08,1.52,1.52,1.52,1000,1.53
4/4/2018,CAL,1.52,1.08,1.52,1.52,1.52,0,1.53
4/5/2018,CAL,1.65,1.08,1.52,1.52,1.61,61100,1.65
4/6/2018,CAL,1.7,1.08,1.61,1.61,1.64,14600,1.7
4/9/2018,CAL,1.7,1.08,1.64,1.64,1.68,42100,1.7
4/10/2018,CAL,1.71,1.08,1.68,1.68,1.71,3200,1.71
4/11/2018,CAL,1.8,1.08,1.71,1.71,1.75,717200,1.8
4/12/2018,CAL,1.82,1.08,1.75,1.75,1.8,707200,1.82
4/13/2018,CAL,1.85,1.08,1.8,1.8,1.85,53800,1.85
4/16/2018,CAL,1.85,1.08,1.85,1.85,1.85,12000,1.85
4/17/2018,CAL,1.85,1.08,1.85,1.85,1.85,8900,1.85
4/18/2018,CAL,1.85,1.08,1.85,1.85,1.85,402500,1.85
4/19/2018,CAL,1.85,1.08,1.85,1.85,1.85,40800,1.85
4/20/2018,CAL,1.85,1.08,1.85,1.85,1.85,36500,1.85
4/23/2018,CAL,1.85,1.08,1.85,1.85,1.85,3300,1.85
4/24/2018,CAL,1.9,1.08,1.85,1.85,1.9,645800,1.85
4/25/2018,CAL,1.9,1.08,1.85,1.85,1.9,612100,1.85
4/26/2018,CAL,1.97,1.08,1.9,1.9,1.97,38300,1.95
4/27/2018,CAL,1.97,1.08,1.97,1.97,1.97,1300,1.95
4/30/2018,CAL,1.97,1.08,1.97,1.97,1.97,1800,1.95
5/2/2018,CAL,1.97,1.08,1.97,1.97,1.95,825500,1.95
5/3/2018,CAL,1.97,1.08,1.95,1.95,1.95,66000,1.95
5/4/2018,CAL,1.97,1.08,1.95,1.95,1.9,1300,1.89
5/7/2018,CAL,1.97,1.08,1.9,1.9,1.89,60200,1.89
5/8/2018,CAL,1.97,1.08,1.89,1.89,1.89,0,1.89
5/9/2018,CAL,1.97,1.08,1.89,1.89,1.9,1500,1.88
5/10/2018,CAL,1.97,1.08,1.9,1.9,1.85,500,1.85
5/11/2018,CAL,1.97,1.08,1.85,1.85,1.82,27700,1.8
5/14/2018,CAL,1.97,1.08,1.82,1.82,1.76,700,1.76
5/15/2018,CAL,1.97,1.08,1.76,1.76,1.73,6400,1.73
5/16/2018,CAL,1.97,1.08,1.73,1.73,1.72,88600,1.69
5/17/2018,CAL,1.97,1.08,1.72,1.72,1.7,69900,1.6
5/18/2018,CAL,1.97,1.08,1.7,1.7,1.7,0,1.6
5/21/2018,CAL,1.97,1.08,1.7,1.7,1.58,500,1.5
5/22/2018,CAL,1.97,1.08,1.58,1.58,1.58,0,1.5
5/23/2018,CAL,1.97,1.08,1.58,1.58,1.54,648100,1.54
5/24/2018,CAL,1.97,1.08,1.54,1.54,1.54,5000,1.54
5/28/2018,CAL,1.97,1.08,1.54,1.54,1.54,2500,1.54
